,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,1,0,0,0,28,1,0,1,1,0,1,0,0,0,1,0,1,802,1466,0
3,1,0,0,0,40,0,2,1,1,0,1,1,0,0,1,0,2,570,1400,0
5,0,0,0,0,71,1,1,2,0,0,1,0,1,1,0,1,0,1578,6104,1
6,1,0,0,1,15,1,1,2,0,1,0,0,1,0,0,1,3,1379,1550,0
8,0,0,1,0,21,1,1,2,0,0,1,1,1,1,0,1,0,90,2646,1
9,1,0,0,1,59,1,0,1,1,1,0,0,0,0,1,0,2,786,3022,0
12,1,0,1,0,54,1,1,2,0,0,1,0,1,1,1,0,3,7,4693,0
13,1,0,0,0,44,1,1,2,0,1,1,0,1,1,0,1,2,68,4265,1
14,1,0,0,0,18,1,0,2,1,0,1,1,1,1,0,1,0,104,2337,0
15,0,0,1,1,66,1,1,2,1,1,1,1,1,1,2,0,3,238,5959,0
16,0,0,0,0,48,1,0,0,2,2,2,2,2,2,1,0,1,346,46,0
17,1,0,0,1,69,1,1,2,1,0,1,0,1,1,2,0,2,128,5704,0
19,0,0,0,0,14,1,0,2,0,1,1,0,0,1,0,1,0,1398,1433,0
23,0,0,1,0,54,1,1,1,0,1,0,1,0,0,2,1,3,845,3041,0
24,1,0,1,1,44,1,0,1,1,1,0,1,0,0,0,0,3,839,2567,0
25,0,0,0,0,24,1,0,1,1,1,0,0,0,0,0,1,2,769,959,0
26,1,0,1,1,42,1,1,2,0,1,0,0,1,1,0,1,0,1572,4019,1
28,1,0,1,0,70,1,1,1,1,1,1,1,1,1,2,1,3,1402,5135,0
30,0,1,1,0,69,1,1,2,1,1,1,1,0,0,2,1,3,1519,5354,0
32,0,0,1,1,20,1,0,1,1,1,1,1,0,0,1,0,1,954,1449,0
35,0,0,1,1,70,1,1,2,1,1,0,1,1,0,2,0,2,1583,5644,0
36,1,0,0,0,45,1,0,2,0,0,0,0,0,0,0,1,0,1013,2742,1
37,0,0,0,0,41,1,0,2,0,0,1,0,0,0,0,1,3,1107,3073,0
38,1,0,0,0,28,1,1,2,0,1,1,0,1,1,0,1,0,121,3074,1
41,0,0,1,1,68,1,1,1,1,1,0,0,1,0,2,1,3,1003,4118,0
