,RowNumber,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
7660,7403,1801,67,2,1,18,6,0,1,1,0,8851,0
275,1957,753,315,2,0,19,8,0,1,1,1,644,0
2985,2208,2569,449,0,1,12,9,2971,0,1,0,7392,0
5646,5165,1313,135,1,0,17,10,1498,0,1,0,6673,1
5849,5391,2473,274,0,1,33,3,0,0,0,0,7356,0
3477,2755,1940,232,2,0,22,8,0,0,1,1,5849,0
7558,7289,628,231,2,0,18,0,701,1,1,0,655,1
3558,2845,459,374,0,1,23,5,1997,0,0,0,9,0
2809,2014,1660,233,0,0,14,3,5352,1,1,1,2563,0
9113,9018,925,130,1,0,11,3,5664,0,1,1,9968,0
4861,4293,1891,272,2,0,4,10,0,0,1,0,6048,1
6586,6209,1667,252,1,1,15,8,6279,1,1,1,6633,0
3416,2688,2622,141,0,1,20,10,0,1,0,0,6104,0
307,2313,2436,238,1,1,17,8,4132,1,1,0,6176,0
3908,3234,2657,264,2,1,19,1,0,0,1,1,377,0
348,2768,2396,263,1,0,14,1,1158,0,1,1,1479,0
826,8079,129,289,0,0,29,6,0,1,1,1,4443,0
9501,9449,1217,444,1,1,0,3,3430,0,1,1,1007,0
4482,3872,1361,262,0,0,24,1,0,1,1,1,7609,0
6576,6198,1543,432,0,1,19,6,4348,0,1,1,4074,0
3682,2983,1637,229,2,1,26,9,0,1,1,1,3127,0
5876,5420,1249,313,0,1,21,3,908,0,1,0,5513,0
8387,8210,513,308,0,1,26,9,4192,0,1,0,440,0
2053,1174,1783,459,0,1,45,9,4478,0,0,0,4673,1
71,6890,1754,422,0,1,11,7,0,0,1,0,6291,0
5507,5011,229,192,2,0,22,4,4897,0,1,0,583,1
8514,8352,1574,266,2,1,11,8,5543,0,1,0,2979,0
7510,7237,1460,407,0,1,18,1,0,1,1,1,3283,0
8151,7949,674,109,2,1,22,1,6310,0,1,1,2960,0
1666,743,654,220,0,0,28,6,0,0,1,0,8719,1
7861,7626,722,216,2,1,10,1,2955,1,1,1,633,0
9159,9069,500,218,0,1,14,8,1497,0,0,0,6532,0
5688,5211,1476,80,1,1,5,7,336,1,1,0,1796,0
1445,498,2415,314,0,0,6,8,12,0,1,0,1210,0
5227,4700,1804,310,0,1,5,4,0,1,1,0,6584,0
6982,6649,2645,362,0,0,32,5,0,1,1,1,9217,0
1695,775,30,115,0,1,16,8,0,1,0,0,902,0
2892,2105,482,210,0,1,26,4,0,1,1,0,6105,0
1574,641,819,287,1,1,5,2,1252,0,1,1,9523,0
3203,2452,452,328,0,1,51,4,0,1,1,1,7651,0
4405,3787,1199,173,2,0,17,10,0,1,1,1,362,0
1630,704,1995,266,1,1,39,9,545,0,1,1,1501,1
8380,8203,2429,131,1,1,14,9,2023,1,1,1,3641,0
1881,982,605,139,2,0,18,3,0,1,1,1,2669,0
8821,8693,790,271,2,0,24,7,367,0,1,0,7079,0
6463,6073,2616,358,0,1,12,1,0,1,0,1,1517,0
848,8323,560,220,2,1,33,1,1874,0,1,1,2806,0
9923,9917,1929,334,0,0,11,7,0,1,1,1,5012,0
6188,5767,1736,444,1,0,29,6,639,1,1,1,6937,1
5869,5413,334,171,1,1,13,3,1006,0,0,1,4788,0
2877,2088,391,266,2,1,49,6,1601,1,1,1,450,0
186,968,2569,339,0,0,21,1,6311,0,1,0,5254,0
3779,3091,2349,233,0,1,19,0,0,1,0,0,698,0
1830,926,450,115,0,1,19,6,0,1,1,1,1568,0
8325,8142,644,214,0,1,9,10,0,1,1,0,5432,0
9241,9160,1037,118,0,1,17,9,0,1,0,1,8161,0
6378,5978,280,171,0,1,19,3,0,0,0,1,7314,1
1234,264,1608,380,0,0,48,8,3485,0,1,1,1741,0
6964,6629,1222,185,0,0,37,7,4846,2,0,1,8169,1
3915,3242,1318,295,1,1,25,3,2882,0,1,1,9891,0
446,3857,2029,331,0,1,19,3,0,0,0,0,1179,0
844,8279,1863,249,0,1,26,4,3026,0,1,0,9572,0
8062,7850,2831,272,1,0,28,7,6059,0,1,1,5605,1
5402,4895,1756,437,0,1,19,5,0,1,1,0,9731,0
2440,1604,2425,310,2,1,41,8,0,1,0,1,5959,0
3103,2341,1345,264,0,0,29,2,0,1,1,0,3753,0
8585,8430,2781,363,0,0,27,7,0,0,1,0,8512,1
6791,6437,1689,209,1,0,21,8,5718,1,1,0,7665,0
5650,5170,2775,225,1,0,18,2,5320,0,1,0,2085,0
1294,330,1590,433,0,1,12,0,2788,0,1,1,3437,0
5079,4536,1045,36,0,1,19,6,0,1,1,1,1217,0
9016,8910,2761,186,2,1,13,7,0,0,1,1,5330,0
5067,4522,1362,196,1,0,27,9,2889,0,1,1,1315,1
3442,2717,1146,459,1,0,12,9,4052,0,1,1,7400,0
8451,8282,1888,184,2,0,4,9,385,0,1,1,6316,0
7273,6973,1333,269,2,1,20,7,775,0,1,1,3053,0
6105,5676,287,226,0,0,16,0,2601,1,1,0,4623,0
776,7523,2429,231,1,0,40,8,1360,0,1,0,1148,1
9716,9687,2106,421,1,1,21,6,1266,2,1,1,4749,1
2153,1285,969,302,0,1,18,9,4618,0,0,0,7669,1
4920,4359,1707,124,0,1,15,3,0,1,1,1,2031,0
5360,4848,2149,242,0,1,17,2,0,1,1,0,8072,0
9735,9708,480,309,0,0,14,9,851,1,1,1,3427,1
5957,5510,1215,221,1,1,58,7,6110,0,1,1,5046,0
8411,8238,547,228,2,0,38,8,0,1,1,1,6761,0
8432,8261,2396,88,0,1,29,7,1776,0,0,1,7638,1
3183,2429,1955,245,0,1,25,7,0,1,1,0,6800,0
6792,6438,1091,215,2,1,16,4,4263,0,0,1,5028,0
3199,2448,2296,157,0,0,28,1,0,0,1,1,279,1
9369,9302,1763,327,2,0,21,3,0,0,1,1,7292,0
1289,325,73,281,1,1,22,2,213,0,1,0,1621,1
4581,3982,1214,181,0,0,29,3,0,1,1,0,6415,0
6192,5772,2058,160,0,1,25,8,0,1,1,0,4364,0
8935,8819,513,269,0,0,25,1,0,0,0,1,696,1
7149,6836,2021,289,0,1,19,5,0,1,1,0,7821,0
9846,9831,2675,155,2,1,7,8,2308,1,1,1,328,0
4106,3455,1292,280,2,1,16,2,3991,0,1,0,2282,0
4126,3477,1479,284,2,1,14,2,0,1,1,0,5060,0
8300,8115,1112,342,1,1,30,8,5617,0,1,1,5742,0
3966,3298,841,424,0,1,17,5,0,1,0,1,5459,0
1879,980,2878,188,0,1,13,10,0,0,0,1,2204,0
8496,8331,2055,186,2,1,25,4,0,1,1,1,1979,0
9299,9225,1962,433,0,1,8,8,3632,0,1,0,5648,1
6348,5945,2582,308,2,1,13,9,2156,1,1,0,2693,0
3587,2877,2508,330,0,1,23,3,0,1,1,0,3778,0
7372,7083,1751,292,2,1,16,10,1167,1,0,1,5818,0
3865,3186,1756,232,0,1,22,7,0,1,1,1,8096,0
