,RowNumber,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4684,4096,1164,232,0,1,25,1,0,1,1,1,2620,0
2750,1948,1594,90,0,0,39,10,0,2,1,1,3853,1
7487,7210,1747,260,0,0,38,5,0,0,0,0,9116,1
5272,4750,866,459,0,1,29,7,0,0,1,0,4832,1
3999,3337,1607,305,0,1,1,1,852,0,1,1,5964,0
8158,7956,1445,250,0,0,19,3,0,1,1,0,6599,0
9896,9886,2068,404,0,0,22,3,126,0,1,1,4615,0
2249,1392,2030,371,0,1,17,10,0,1,1,1,6796,0
4640,4048,1002,296,0,0,26,10,0,1,0,0,190,1
4947,4388,1321,362,0,0,44,7,0,1,1,1,2052,0
9920,9914,2473,287,0,0,31,4,4777,0,0,1,8506,1
8243,8051,1716,434,0,1,11,4,3778,1,0,1,8375,0
8847,8721,537,66,0,1,22,2,2847,1,1,0,2863,0
321,2469,2653,289,0,0,12,9,3333,0,1,1,3476,0
2678,1867,1235,428,0,0,20,2,0,1,1,0,6100,0
4625,4031,522,119,0,0,27,2,279,1,0,1,8734,0
4949,4391,1146,176,0,1,18,1,0,1,0,0,9185,0
6630,6259,1983,350,0,0,18,4,0,1,1,1,9423,0
5547,5055,1790,297,0,1,20,8,3725,0,1,0,4182,1
35,2890,1587,84,0,0,27,0,2845,0,1,0,5971,1
8362,8183,1556,176,0,1,18,8,0,1,0,1,6583,0
1513,574,1479,49,0,1,24,3,0,1,1,0,7168,0
9317,9244,1817,350,0,1,24,7,449,0,1,0,5233,1
4819,4247,2767,222,0,1,8,5,33,0,0,1,2807,0
1760,848,1199,130,0,1,20,6,830,0,0,1,2059,1
8284,8096,2824,320,0,0,21,4,3948,0,1,0,9455,0
4993,4439,2558,163,0,0,26,7,5905,0,1,0,1475,0
7938,7711,2774,414,0,1,21,3,0,0,0,0,3687,0
9655,9619,1932,192,0,0,22,5,4905,1,1,0,5908,0
2545,1720,1947,295,0,0,25,0,0,0,1,1,3875,0
1188,212,2422,137,0,1,12,3,2357,1,1,0,7218,0
2753,1951,2314,89,0,0,10,7,0,1,0,0,7067,0
5323,4807,2893,231,0,1,14,6,4630,0,1,1,2762,0
3570,2859,2295,283,0,1,28,3,4561,0,1,0,9447,1
2894,2107,2477,140,0,1,13,4,0,0,1,1,6768,0
2927,2144,1630,241,0,1,14,7,917,0,1,1,3895,0
8178,7978,1230,316,0,0,28,8,2281,1,1,1,2595,0
971,9690,352,332,0,1,7,4,0,1,1,1,1945,0
9054,8952,1667,155,0,0,12,6,0,1,0,1,5462,0
3857,3177,2072,245,0,0,27,8,3236,0,1,1,503,0
5861,5404,2758,171,0,1,30,4,5900,0,1,1,3494,0
3305,2565,439,395,0,0,44,9,0,0,1,1,3640,0
3006,2233,2177,356,0,0,27,1,1189,0,1,0,4939,1
7770,7525,2722,308,0,1,11,4,2129,0,1,1,2900,0
7438,7156,306,137,0,0,14,5,5600,1,1,0,3124,0
7942,7716,2429,151,0,0,24,1,0,0,1,1,4352,1
9238,9156,1460,382,0,0,32,5,0,1,1,0,1660,0
3154,2397,1943,261,0,1,33,8,0,1,0,1,6812,0
7539,7269,2473,364,0,1,24,3,1612,0,1,0,3158,0
7231,6927,1953,164,0,1,22,2,3243,0,1,1,353,0
4903,4340,293,303,0,1,24,4,4134,1,0,0,9375,0
8093,7884,2062,193,0,1,29,6,0,1,1,0,9397,0
6843,6495,922,349,0,1,15,1,2470,0,1,1,1313,0
2165,1298,27,120,0,1,15,8,0,1,0,1,3232,0
1862,961,2305,90,0,1,26,10,4573,0,1,0,8058,1
7850,7614,471,97,0,0,18,0,0,1,1,0,2071,0
9123,9029,1464,327,0,1,15,8,203,0,0,0,1017,0
5527,5033,884,307,0,1,20,3,2518,0,1,1,6705,0
4003,3341,862,359,0,0,8,1,3893,1,1,1,5490,0
8709,8569,2074,138,0,1,21,7,137,1,1,0,1325,0
7216,6910,2682,288,0,1,23,9,3706,2,1,0,4037,1
4216,3577,2694,403,0,1,38,10,6164,0,1,1,8399,0
5970,5525,2831,79,0,1,17,1,6129,0,0,0,7716,0
4695,4108,567,278,0,1,19,1,2115,0,1,1,3444,0
3399,2670,2025,237,0,0,13,7,4576,0,1,0,752,1
6292,5883,2570,103,0,0,15,1,3095,0,0,1,9451,0
3122,2362,871,285,0,1,11,5,3292,0,1,0,6425,0
5794,5329,1738,278,0,1,39,6,0,1,1,1,7562,0
8181,7982,1751,207,0,1,10,9,2516,1,0,1,6947,0
6681,6315,1621,211,0,1,13,8,4070,0,1,1,4416,0
1512,573,2133,265,0,1,21,2,0,1,1,1,9942,0
8791,8659,915,334,0,0,7,10,0,1,1,1,3798,0
6830,6481,1693,374,0,1,25,10,4172,1,0,0,2065,0
5421,4916,2646,198,0,0,21,8,0,1,0,0,9797,0
1068,79,997,203,0,1,39,7,0,0,1,0,5188,1
1347,389,1660,130,0,1,19,3,0,1,1,1,9229,0
6005,5565,1512,245,0,0,6,10,0,1,0,1,6574,0
8446,8276,2170,300,0,0,15,7,0,1,1,0,3557,0
6897,6554,330,101,0,0,30,7,2258,0,1,1,9556,1
31,2446,2007,142,0,1,18,8,5596,0,0,1,3149,0
