,RowNumber,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6252,5839,80,205,1,1,14,4,6144,1,0,0,6721,0
4742,4161,1551,115,1,1,41,9,1552,1,1,1,3914,0
5202,4673,1855,206,1,0,4,7,106,0,1,0,8330,1
439,3780,1242,73,1,0,24,4,5605,0,1,1,3560,0
5653,5173,972,296,1,0,23,3,4018,0,1,0,3242,0
9930,9925,2316,34,1,1,22,10,4403,1,0,1,4031,0
1963,1073,741,187,1,1,16,9,3695,1,1,0,8125,0
5589,5102,1416,324,1,0,19,10,412,0,0,0,2431,1
39,3335,396,191,1,1,23,7,5116,1,0,1,4341,0
3465,2742,728,301,1,0,25,3,5090,1,0,0,3592,0
3723,3029,2100,324,1,1,24,3,5698,1,1,1,5617,0
8127,7922,2582,260,1,1,17,9,792,0,1,0,1580,1
2592,1772,2662,114,1,1,22,7,4864,1,1,1,3071,0
6077,5644,1908,269,1,0,19,3,2754,0,0,0,8384,0
107,91,2122,394,1,0,18,3,6364,0,0,1,6468,0
9753,9728,485,265,1,1,50,8,3998,0,1,1,4799,0
6231,5816,2142,240,1,1,30,1,482,0,1,1,2853,1
799,7780,2576,210,1,0,24,10,2789,0,0,1,203,0
6687,6321,674,404,1,1,20,8,2151,1,1,1,1550,0
2020,1138,1390,236,1,0,12,7,4928,0,1,0,4885,0
952,9479,2846,180,1,0,48,10,914,0,0,1,4935,0
5359,4847,1587,293,1,1,24,1,1432,0,1,1,5709,1
3145,2387,1636,91,1,0,30,3,5094,0,0,0,168,1
3787,3099,1675,247,1,1,9,5,2898,0,1,1,4796,1
9189,9102,441,216,1,1,14,10,3509,1,1,0,4235,0
7825,7586,523,203,1,0,5,5,345,1,1,0,7550,1
764,7390,1387,319,1,1,25,3,3254,2,1,1,3208,1
5019,4470,2208,432,1,0,35,5,2063,0,0,1,1764,1
2340,1493,2592,132,1,1,23,0,1557,0,0,0,1264,1
6743,6384,1546,164,1,0,33,10,3127,0,1,0,5468,1
1123,141,1177,388,1,1,15,1,4183,0,1,1,5365,1
7640,7381,509,399,1,0,16,3,4330,0,1,0,5508,0
2344,1497,2863,323,1,0,31,5,5943,0,1,0,8610,1
7952,7727,1689,355,1,0,15,3,597,1,1,1,2608,0
9149,9058,1615,206,1,0,25,8,1550,1,1,0,7501,0
510,4569,915,133,1,0,13,2,5060,1,1,1,3426,0
119,225,2857,308,1,1,16,5,4689,1,1,0,1173,0
7791,7548,1689,193,1,0,13,7,3960,0,1,0,9963,0
6517,6133,1353,237,1,0,33,10,4094,1,1,1,8368,0
7887,7654,605,325,1,0,12,3,4778,1,0,0,8054,0
3817,3133,2617,291,1,0,11,7,66,0,0,0,6217,1
5269,4747,2681,289,1,1,16,7,3642,0,1,0,8149,1
4386,3765,2575,392,1,0,24,3,3221,0,1,0,5625,0
7507,7233,1593,185,1,1,26,10,1574,0,1,0,1073,1
106,80,2525,191,1,1,14,1,5736,0,1,1,32,0
2627,1811,2064,180,1,1,7,7,5479,1,1,0,3748,0
8965,8852,962,86,1,0,40,9,3615,0,1,1,5778,0
3100,2338,1595,419,1,1,17,4,6152,1,1,1,1152,0
3898,3222,2899,271,1,1,41,3,333,0,1,0,8902,1
5440,4937,1803,299,1,1,25,3,4398,0,0,0,1108,1
4516,3910,2869,106,1,0,14,9,909,3,1,1,9741,1
1261,294,2350,353,1,1,20,7,5177,1,1,0,8785,0
259,1780,2788,459,1,1,20,4,4900,0,1,1,2259,0
7907,7677,2093,292,1,0,21,3,4863,1,1,1,9211,0
311,2358,593,338,1,1,12,7,5009,0,1,0,2544,0
7457,7177,954,274,1,0,25,3,1313,3,1,0,6392,1
9783,9761,29,210,1,0,31,5,6115,1,1,0,271,0
7772,7527,49,401,1,0,32,5,3658,0,1,0,3625,1
7841,7604,888,315,1,0,28,8,889,0,1,1,2768,1
8205,8009,2505,86,1,0,21,5,4664,0,1,0,4760,0
9335,9264,1782,346,1,1,32,5,2290,1,1,0,6753,0
4194,3552,1237,181,1,0,36,10,6196,0,1,1,5293,0
8000,7782,1093,356,1,1,18,9,180,1,1,1,4492,0
5381,4871,1106,459,1,1,14,10,3369,1,1,1,2785,0
416,3524,1150,96,1,0,43,6,812,0,0,0,789,1
2688,1878,494,167,1,1,14,5,632,0,1,1,2476,0
6472,6083,1335,260,1,0,16,2,3784,0,1,0,8109,1
8819,8691,1667,201,1,1,18,2,1901,0,0,1,2601,0
7807,7566,1456,217,1,1,16,4,474,0,1,1,6451,0
3410,2682,343,39,1,1,18,1,3174,1,0,0,1266,0
1373,418,2602,137,1,0,28,10,2931,0,1,0,1882,1
3015,2243,1806,283,1,1,25,9,5618,1,1,0,9302,0
4751,4171,2433,270,1,0,46,9,2407,1,1,0,4942,1
2360,1515,304,127,1,0,23,6,828,0,1,0,9399,0
1147,167,1191,202,1,0,11,6,118,2,1,0,1949,0
8074,7863,1225,426,1,0,9,8,2495,0,1,1,7697,0
1562,628,111,303,1,1,13,7,710,1,1,1,5223,1
9275,9197,414,36,1,1,24,1,5243,0,1,1,7580,0
5853,5395,1470,205,1,1,22,6,4988,2,1,0,2742,1
7417,7133,1829,339,1,0,19,6,1988,0,1,0,1050,0
8694,8551,2627,280,1,0,30,10,1347,1,0,0,8647,0
9731,9704,1910,216,1,1,11,8,181,0,1,0,3508,0
3501,2783,436,255,1,0,12,2,41,1,0,0,2086,0
8336,8154,2097,395,1,0,15,0,1824,0,0,0,6339,1
6550,6170,2406,246,1,0,21,4,760,0,1,1,9333,1
6163,5740,2803,97,1,0,10,8,3188,1,1,0,416,0
7695,7441,793,332,1,0,29,2,5807,1,0,0,209,1
7093,6773,1583,215,1,0,23,5,2718,0,1,0,3136,1
6690,6325,1941,182,1,1,12,9,2274,0,1,0,5135,0
1090,104,2152,148,1,0,16,5,5866,0,1,1,2066,0
5559,5069,2031,459,1,1,18,6,1617,0,1,0,5059,1
9411,9349,915,298,1,0,22,5,5314,3,1,0,1084,1
623,5824,1521,287,1,1,18,4,3600,1,0,1,9410,0
6870,6525,1339,459,1,0,18,0,3017,1,1,1,9951,0
6552,6172,196,402,1,0,16,6,2310,0,1,0,2446,0
7436,7154,1219,255,1,0,39,7,5790,0,1,0,2212,1
4217,3578,2017,196,1,1,17,6,1783,0,1,1,5727,1
6428,6034,1861,236,1,0,21,6,2039,0,1,0,9618,1
7753,7506,2178,214,1,1,10,2,1084,0,1,0,6246,0
4140,3493,2900,450,1,0,15,8,4057,1,1,1,9975,0
4575,3975,122,442,1,1,11,1,6127,1,0,1,7120,0
3992,3327,526,339,1,1,20,0,4823,1,0,0,9686,0
8260,8070,1939,249,1,0,12,6,4809,0,0,1,2340,0
7548,7278,469,193,1,0,44,10,3078,1,0,1,1190,0
1606,677,1023,175,1,0,22,3,6168,1,1,0,3046,0
