,RowNumber,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1731,816,73,210,2,0,26,5,0,1,1,0,7661,0
4521,3916,538,169,2,0,9,8,2068,0,1,1,832,0
6340,5937,2351,399,2,1,19,9,0,1,1,1,2783,0
576,5301,1996,48,2,0,14,4,3171,0,1,0,8608,0
6363,5962,1480,287,2,0,22,5,1093,0,1,0,3653,0
6033,5596,491,221,2,0,18,6,1604,1,1,0,3300,0
582,5368,2262,195,2,0,39,4,0,1,0,1,7772,0
7051,6727,171,252,2,1,25,1,0,1,1,1,2584,0
9485,9430,2629,459,2,1,19,5,5699,0,1,0,584,0
6590,6214,2786,305,2,0,12,0,0,1,1,1,9437,0
8328,8145,248,247,2,1,16,6,3657,0,1,0,136,0
3337,2600,441,188,2,1,38,5,6337,0,0,0,6908,1
251,1691,1857,196,2,0,16,1,0,1,1,1,9898,0
3973,3306,441,320,2,1,20,4,2401,0,0,0,842,0
2304,1453,2900,368,2,0,17,8,3719,0,1,1,415,0
3032,2262,1847,104,2,0,27,4,5750,2,1,0,1990,1
3039,2270,147,438,2,0,8,9,97,1,1,1,5155,0
7966,7742,1614,286,2,0,16,5,0,1,1,1,7843,0
1315,354,277,216,2,0,9,6,61,0,0,0,8644,0
8187,7988,1621,212,2,0,21,6,4289,1,1,0,7432,0
2876,2087,2595,213,2,0,17,8,3687,0,1,1,7616,0
8575,8419,149,194,2,1,27,0,0,1,0,0,4960,0
9001,8894,2878,297,2,1,14,7,1996,0,1,1,2189,0
1056,66,2571,284,2,1,15,4,0,1,1,0,6913,0
4049,3392,374,227,2,1,15,5,0,1,1,1,8715,0
765,7401,220,319,2,0,9,3,2913,0,1,0,2380,0
4071,3416,1081,459,2,0,36,5,1688,0,1,0,8138,0
3350,2615,392,279,2,1,17,3,2007,1,0,1,9113,0
4081,3427,2675,330,2,1,15,6,0,1,0,1,1006,0
1224,253,1336,109,2,0,29,9,2380,0,1,0,4399,0
9417,9355,1242,186,2,0,15,7,0,1,1,0,7631,0
96,9667,1046,382,2,1,23,10,200,0,0,1,8006,0
33,2668,1655,129,2,0,24,7,0,1,1,1,6318,0
4747,4166,686,272,2,1,46,7,0,1,0,1,3269,0
6039,5603,1233,206,2,1,8,6,0,1,0,1,9755,0
5309,4792,1284,293,2,0,18,6,4550,0,1,0,1119,0
5674,5196,1390,149,2,1,10,9,0,1,0,0,5397,0
2232,1373,2214,258,2,1,18,9,0,1,1,0,3421,0
993,9934,1006,270,2,0,10,8,6055,0,0,0,145,0
360,2902,2796,315,2,1,10,4,0,1,0,1,4536,0
7930,7703,230,109,2,1,20,8,0,1,0,0,5082,0
621,5802,2098,265,2,0,22,2,4434,0,0,1,2913,0
2855,2064,2205,319,2,0,57,6,0,1,1,1,9663,0
3912,3239,966,190,2,1,28,3,5353,1,0,0,4899,0
3790,3103,1068,205,2,0,36,0,5315,0,1,1,3003,1
6790,6436,1621,96,2,0,22,7,2963,0,0,1,5165,0
6261,5849,427,317,2,0,17,9,1857,0,0,0,5484,0
958,9545,1906,140,2,1,9,9,2706,0,0,0,8423,0
3070,2304,1570,283,2,1,14,3,0,1,1,0,2283,0
3834,3152,2069,343,2,0,21,7,5887,1,0,0,740,0
9701,9671,2474,287,2,1,20,4,2024,0,1,0,1492,0
8537,8377,612,410,2,0,28,7,0,1,1,1,3870,0
1593,662,123,200,2,1,18,8,2911,0,1,1,1253,0
9445,9386,2254,298,2,0,10,6,6053,0,1,0,7824,1
6753,6395,942,270,2,1,20,8,3441,0,1,1,3139,0
2233,1374,1918,174,2,1,20,0,1836,0,0,0,8159,0
7968,7744,2761,201,2,1,27,9,5576,0,0,1,8152,0
108,102,2752,214,2,1,15,6,3832,0,0,0,8404,0
5635,5153,1650,177,2,0,9,1,1312,0,0,1,6925,0
8481,8315,346,338,2,0,20,2,0,1,1,0,4962,0
6595,6219,1278,210,2,1,6,8,0,1,0,0,2523,0
4813,4240,2381,126,2,1,21,4,0,1,0,1,1394,0
1617,689,1700,166,2,0,22,5,0,1,0,1,339,0
6149,5725,1265,252,2,1,16,7,0,1,1,1,909,0
6004,5564,1047,130,2,0,4,2,0,0,1,1,90,0
3541,2827,1642,447,2,0,49,5,240,0,1,1,8756,0
388,3212,2804,318,2,0,27,3,0,1,0,1,3487,0
8731,8593,2100,336,2,0,23,2,0,1,0,1,7032,0
4919,4358,1051,291,2,0,32,2,2340,0,1,1,142,0
8868,8744,453,258,2,0,20,9,0,0,1,0,237,0
5459,4958,2831,139,2,0,18,8,0,1,1,0,8909,0
7396,7109,1637,212,2,0,38,6,5823,1,1,0,3442,1
7383,7095,1583,346,2,0,21,8,2522,1,0,0,7468,1
3482,2761,1515,152,2,1,19,4,0,1,1,1,8791,0
6266,5854,438,146,2,0,15,8,2962,0,1,0,7905,0
2458,1623,2246,122,2,1,68,2,0,1,1,1,7338,0
8794,8662,2783,315,2,0,11,1,4786,0,1,1,1887,1
3837,3155,2200,207,2,0,5,7,0,1,1,0,2989,0
8382,8205,1270,208,2,1,7,4,0,1,1,1,1169,0
5403,4896,630,199,2,1,4,8,2089,0,1,1,3398,0
5998,5555,1098,253,2,1,10,0,0,1,1,0,1099,0
5938,5489,2868,459,2,1,20,8,1234,0,0,1,3438,0
14,557,2389,244,2,0,17,8,0,1,1,1,8087,0
7016,6688,2846,350,2,1,32,1,5331,0,1,1,1702,0
7204,6897,636,295,2,1,21,2,2969,0,0,0,9392,0
4367,3744,741,182,2,1,32,0,4201,0,0,1,3110,1
8447,8277,2253,374,2,0,15,6,5569,0,1,1,8251,0
4190,3548,124,459,2,0,13,4,1717,0,1,1,6129,0
8310,8126,687,311,2,1,25,7,1293,0,1,0,7839,0
500,4458,530,164,2,1,14,5,0,1,1,1,7414,0
9155,9064,234,188,2,0,21,3,3916,1,1,0,3279,0
9414,9352,2630,153,2,0,35,10,0,0,1,0,1448,1
